year,correlation,p_value,n_teams
2012-2013,0.9383458646616539,9.762241109318019e-10,20
2013-2014,0.956390977443609,4.622988667749731e-11,20
2014-2015,0.9759398496240601,2.3519202099227064e-13,20
2015-2016,0.932330827067669,2.2066972068586824e-09,20
2016-2017,0.9699248120300751,1.7143556108377437e-12,20
2017-2018,0.9338345864661652,1.8126865423587107e-09,20
2018-2019,0.9654135338345864,5.932418372864708e-12,20
2019-2020,0.9879699248120299,4.798484273727158e-16,20
2020-2021,0.9488721804511278,1.8821698161170059e-10,20
2021-2022,0.9518796992481202,1.1028078978991561e-10,20
2022-2023,0.9413533834586465,6.293602987073964e-10,20
2023-2024,0.9503759398496241,1.4466901765702984e-10,20
